headword,headword_clean,homonym,grammar,translation,source,raw
УРДЕ́,УРДЕ́,,,"К (-ид, -ил, -ал) зоол. утка; бихьинаб урдек селезень; урдекил гьан утятина; урдекил энчI утенок;",Саидова 2019 — Андалальский диалект,"К (-ид, -ил, -ал) зоол. утка; бихьинаб урдек селезень; урдекил гьан утятина; урдекил энчI утенок; бух., кд., кег., куд., об. орде́ к"
УРДУ́,УРДУ́,,"(-ялълъ, -ялълъул)",уст. военный лагерь,Саидова 2019 — Андалальский диалект,"(-ялълъ, -ялълъул) уст. военный лагерь; Аргъут урдуги чIван Маарда вуана Аргутинский разбил лагерь в местности Маарда (над с. Чох)"
УРКIКIЕ́,УРКIКIЕ́,,,"Н (уркIкIнѝд, уркIкIнѝл, уркIкIбѝ) зоол. годовалая овца;",Саидова 2019 — Андалальский диалект,"Н (уркIкIнѝд, уркIкIнѝл, уркIкIбѝ) зоол. годовалая овца; руг., суг. гIуркIкIе́ н, кд. гIоркке́ н, хин. гIуркке́ н, куд., сал. гIоркIкIе́ н У́ РХАРАБ 1. прич. от у́ рхде 2. желанный  урхараб ссалан пламенный привет; см. чIа́ ргIараб"
УСРУ́,УСРУ́,,,Л мн. от эсе́ р,Саидова 2019 — Андалальский диалект,Л мн. от эсе́ р
УСТА́,УСТА́,,,"Р (-асс, -ассул, -заби) 1) мастер",Саидова 2019 — Андалальский диалект,"Р (-асс, -ассул, -заби) 1) мастер; умелец; муххул устар жестянщик; сагIтазул устар часовщик; хьатазул устар сапожник; цIулал устар плотник; месед-гIарцул устар ювелир 2) рел. устаз, наставник (мюридов суфийского толка)"
УСТА́,УСТА́,,,"РЛИ (-ялълъ, -ялълъул) профессия мастера",Саидова 2019 — Андалальский диалект,"РЛИ (-ялълъ, -ялълъул) профессия мастера; умение, мастерство; устарли гьубуде мастерить; кудиб устарли бугав чи мастеровой человек"
УССУ́,УССУ́,,,Л род. п. от эв,Саидова 2019 — Андалальский диалект,Л род. п. от эв
УТ,УТ,,,"суг. ключ, начало истока У́ ХАБ низкий",Саидова 2019 — Андалальский диалект,"суг. ключ, начало истока У́ ХАБ низкий; ухаб остол низкий стол; ухаб къе невысокая стена; ухаб рокъ низкая комната"
УХА́,УХА́,,,Х,Саидова 2019 — Андалальский диалект,"Х суг. расщелина, канавка, образованная ливнем У́ ХГО нареч. низко; ухго теде оставить низко; бикIил бухдул ухго хухан руго ножки стула подпилили низко"
УЧИ́ТИЛЛИ,УЧИ́ТИЛЛИ,,"(-ялълъ, -ялълъул)","работа, должность, профессия учителя",Саидова 2019 — Андалальский диалект,"(-ялълъ, -ялълъул) работа, должность, профессия учителя; учитилли гьубуде работать учителем"
УЧИ́ТИЛНИЦА,УЧИ́ТИЛНИЦА,,"(-ялълъ, -ялълъул, -заби)",учительница,Саидова 2019 — Андалальский диалект,"(-ялълъ, -ялълъул, -заби) учительница; гIурус учитилница русская учительница"
УЧУ́,УЧУ́,,,ЗАБ дешёвый,Саидова 2019 — Андалальский диалект,ЗАБ дешёвый; учузаб багьа низкая цена; учузаб къай дешёвый товар
УЧУ́,УЧУ́,,,З(ГО) нареч. дёшево,Саидова 2019 — Андалальский диалект,З(ГО) нареч. дёшево; учузго кьеде продать дёшево; учуз гьубураб къай уценённый товар; учузго босде покупать дёшево
УЧУ́,УЧУ́,,,"З/ДЕ (-лама, -ла, -лана, -ле) удешевляться, удешевиться",Саидова 2019 — Андалальский диалект,"З/ДЕ (-лама, -ла, -лана, -ле) удешевляться, удешевиться; (по)дешеветь, падать в цене, обесцениваться; чед учузлана хлеб подешевел; гьан учузде ккама мясо должно подешеветь"
УЧУ́,УЧУ́,,,"ДУБ/УДЕ (-уде, -ума, -ула, -е) понуд. удешевлять, удешевить что-л.",Саидова 2019 — Андалальский диалект,"ДУБ/УДЕ (-уде, -ума, -ула, -е) понуд. удешевлять, удешевить что-л.; уценивать; снижать, сбавлять цену; къай учуздубуде снизить цену на товар"
УЧУ́,УЧУ́,,,"ЗЛИ 1. масд. гл. учу́ зде 2. (-ялълъ, -ялълъул) дешевизна, низкие цены У́ Ш/ДЕ (-ама, -ла, -ана, -е) 1) моргать, моргнуть 2) перен. очень быстро, мгновенно совершить что-л.; бер ушдегIан аде щвана очень быстро прибыл, быстро настиг У́ ШТI/ДЕ (-ана, -ла, -ана, -е) 1) шепнуть; гIендиб уштIде шепнуть на ухо 2) подать знак, сигнал; эсс нилълъеда уштIана он подал нам знак;",Саидова 2019 — Андалальский диалект,"ЗЛИ 1. масд. гл. учу́ зде 2. (-ялълъ, -ялълъул) дешевизна, низкие цены У́ Ш/ДЕ (-ама, -ла, -ана, -е) 1) моргать, моргнуть 2) перен. очень быстро, мгновенно совершить что-л.; бер ушдегIан аде щвана очень быстро прибыл, быстро настиг У́ ШТI/ДЕ (-ана, -ла, -ана, -е) 1) шепнуть; гIендиб уштIде шепнуть на ухо 2) подать знак, сигнал; эсс нилълъеда уштIана он подал нам знак; суг. у́ шде У́ Х/ДЕ (-лама, -ла, -лана, -ле) стать ниже, короче; къачарасса наха покьалълъул охI ухлана после ремонта крыша сарая стала ниже У́ ХДУБ/УДЕ (-ума, -ула, -уна, -е) понуд. от у́ хде; бакI ухдубуде сделать стул низким, ниже У́ ХЛИ 1. масд. гл. у́ хде 2. низкость У́ ХТУР (-ид, -идул, -ал) рашпиль, напильник"
УХХИ́,УХХИ́,,"(-д, -дул, -би//ахха́ л)",котел (медный на трех ножках); уххиниб пула гьубуде в котле (с)варить плов;,Саидова 2019 — Андалальский диалект,"(-д, -дул, -би//ахха́ л) котел (медный на трех ножках); уххиниб пула гьубуде в котле (с)варить плов; бух. кIуххѝ"
УХХИ́КЬМАХХ,УХХИ́КЬМАХХ,,,"суг. подставка для котла, тренога; см. цIцIогьо́ кьмахх У́ ХЬГЬА/Й (-ялълъ, -ялълъул) межд. вздох при сильной усталости;",Саидова 2019 — Андалальский диалект,"суг. подставка для котла, тренога; см. цIцIогьо́ кьмахх У́ ХЬГЬА/Й (-ялълъ, -ялълъул) межд. вздох при сильной усталости; суг. гьухьа́ й У́ ХЬДИЛТIАМ (-алълъ, -алълъул, -ал) суг. портфель, школьная сумка У́ ХЬДУ/Л (-з, -зул) мн. от эхь У́ НХI/ДЕ (-ама, -ла, -ана, -е) дуться, поднатужиться; суг. у́ нхIде У́ НХIИ 1. масд. гл. у́ нхIде 2. (-ялълъ, -ялълъул) натуга У́ ЦЦДЕ суг. прихорашиваться"
УЧИ́ЛИЩИ,УЧИ́ЛИЩИ,,"(-ялълъ, -ялълъул, -би)",училище,Саидова 2019 — Андалальский диалект,"(-ялълъ, -ялълъул, -би) училище; медучилищи медицинское училище; училищалълъа цIцIалде учиться в училище"
УЧИ́ТИЛ,УЧИ́ТИЛ,,"(-асс, -ассул, -заби)",учитель,Саидова 2019 — Андалальский диалект,"(-асс, -ассул, -заби) учитель; хIисабалълъул учитил учитель математики; учитилассул титрат тетрадь учителя"
ХАБАЛА́,ХАБАЛА́,,,"/Й (-ялълъ//-йд, -ялълъул//-йдул, -ял) габалай (нарядная верхняя одежда женщин)",Саидова 2019 — Андалальский диалект,"/Й (-ялълъ//-йд, -ялълъул//-йдул, -ял) габалай (нарядная верхняя одежда женщин); бахIаралълъул хабалай габалай невесты; хабалай бокъде сшить габалай"
ХАБА́,ХАБА́,,,"Р (харбѝд, харбѝл, ха́ рбал) 1) весть, известие, сообщение",Саидова 2019 — Андалальский диалект,"Р (харбѝд, харбѝл, ха́ рбал) 1) весть, известие, сообщение; роххилаб хабар радостная весть 2) разговор, беседа; хабар бигьде получить сообщение от кого-л.; харбал тIиритте распространять сплетни, ненужные разговоры; хабар бицде разговаривать; харбида руъде беседовать; хабар лълъугIде теде завершить разговор; хабар гьадубуде сообщить весть; хабар гьаде узнать о чем-л.; хабар бигьде получить весть; хабар щуби бугаб? что слышно нового?  хабар къотте нет сведений; хабар гьечIого внезапно, вдруг; харбида ад ракь хван теде завершить беседу, закрыть тему разговора (букв. засыпать разговор землёй)"
ХАБА́,ХАБА́,,,"Р-КАГЪАТ (-алълъ, -алълъул) собир. вести (букв. весть и письмо)",Саидова 2019 — Андалальский диалект,"Р-КАГЪАТ (-алълъ, -алълъул) собир. вести (букв. весть и письмо); гьамазул хабар-кагъат щуби бугаб? какие вести от детей? васассул хабаркагъат къотIана от сына нет вестей"
ХАБА́,ХАБА́,,,"Р-КIАЛ (-алълъ, -алълъул) собир. беседа",Саидова 2019 — Андалальский диалект,"Р-КIАЛ (-алълъ, -алълъул) собир. беседа; кIевго вацц хабаркIалалълъа руго оба брата мирно беседуют"
ХАБА́,ХАБА́,,,"Х (хабхѝд, хабхѝл, ха́ бхал) тыква; хабхил тIагIан вкус тыквы; хабах чIчIеде сажать тыкву; хабах белгьде сварить тыкву; хабхил гъалал плети тыквы;",Саидова 2019 — Андалальский диалект,"Х (хабхѝд, хабхѝл, ха́ бхал) тыква; хабхил тIагIан вкус тыквы; хабах чIчIеде сажать тыкву; хабах белгьде сварить тыкву; хабхил гъалал плети тыквы; бух., кег. хъаба́ хъ, куд. гьаба́ хъ, сал. бачика́ н"
ХАБА́,ХАБА́,,,"ХАРАБ волочащийся, тащущийся (по земле)",Саидова 2019 — Андалальский диалект,"ХАРАБ волочащийся, тащущийся (по земле); хабахараб кунта с волочащимся подолом платье; нахнах хабахараб хIалтIи долго тянущаяся работа"
ХАБА́,ХАБА́,,,"Х/ДЕ (-ама, -ла, -ана, -е) волочить, тянуть, тащить что-л. (по земле)",Саидова 2019 — Андалальский диалект,"Х/ДЕ (-ама, -ла, -ана, -е) волочить, тянуть, тащить что-л. (по земле); притащить, утащить; рихIи хабахде волочить бревно; нах-нах хабахде волочить за собой; чана хабахде тащить за собой сани; кунта гIодоб хабахде биччаде дать платью волочиться по земле"
ХАБА́,ХАБА́,,,"ХДУБ/УДЕ (-ума, -ула, -уна, -е) понуд. от хаба́ хде",Саидова 2019 — Андалальский диалект,"ХДУБ/УДЕ (-ума, -ула, -уна, -е) понуд. от хаба́ хде; гъветI нах-нах хабахдубуде заставить волочить дерево, тащить дерево волоком"
ХАБА́,ХАБА́,,,"ХИ 1. масд. гл. хаба́ хде 2. (-ялълъ, -ялълъул) протаскивание, волочение",Саидова 2019 — Андалальский диалект,"ХИ 1. масд. гл. хаба́ хде 2. (-ялълъ, -ялълъул) протаскивание, волочение"
ХАБА́,ХАБА́,,,"ХУН 1. деепр. от хаба́ хде 2. нареч. волоча, потащив (за собой)",Саидова 2019 — Андалальский диалект,"ХУН 1. деепр. от хаба́ хде 2. нареч. волоча, потащив (за собой); хабахун кунтагин с волочащимся платьем (подолом платья)"
ХАБА́,ХАБА́,,,"-ЧIАБАР (-алълъ, -алълъул) разг. беседа",Саидова 2019 — Андалальский диалект,"-ЧIАБАР (-алълъ, -алълъул) разг. беседа; хаба-чIабаралълъа руъде проводить время в беседах, в приятном общении"
ХА́,ХА́,,,"БХА/Л (-з, -зул) мн. от хаба́ х",Саидова 2019 — Андалальский диалект,"БХА/Л (-з, -зул) мн. от хаба́ х"
ХАБХИ́Л,ХАБХИ́Л,,,род. п. от хаба́ х,Саидова 2019 — Андалальский диалект,род. п. от хаба́ х
ХА́,ХА́,,,"БЧ/ДЕ (-ама, -ла, -ана, -е) 1) небрежно накинуть на себя (напр. пиджак, тутуп); хабчун умугъгин, къутIив вахана хIерав накинув тулуп, старик вышел на улицу 2) носить обувь волоча, небрежно;",Саидова 2019 — Андалальский диалект,"БЧ/ДЕ (-ама, -ла, -ана, -е) 1) небрежно накинуть на себя (напр. пиджак, тутуп); хабчун умугъгин, къутIив вахана хIерав накинув тулуп, старик вышел на улицу 2) носить обувь волоча, небрежно; суг. хе́ нччде"
ХА́,ХА́,,,"БЧИ 1. масд. гл. ха́ бчде 2. (-ялълъ, -ялълъул) небрежное накидывание, набрасывание одежды",Саидова 2019 — Андалальский диалект,"БЧИ 1. масд. гл. ха́ бчде 2. (-ялълъ, -ялълъул) небрежное накидывание, набрасывание одежды; небрежное ношение обуви"
ХА́,ХА́,,,"БЧИ-ДВАРГЪИ (-ялълъ, -ялълъул) шум-гам; рагьла хабчидваргъи бохана во дворе раздался шум-гам;",Саидова 2019 — Андалальский диалект,"БЧИ-ДВАРГЪИ (-ялълъ, -ялълъул) шум-гам; рагьла хабчидваргъи бохана во дворе раздался шум-гам; суг. ха́ пч-дваргъ"
ХА́,ХА́,,,"БШ/ДЕ (-ама, -ла, -ана, -е) волочить ноги (при ходьбе), шаркать ногами",Саидова 2019 — Андалальский диалект,"БШ/ДЕ (-ама, -ла, -ана, -е) волочить ноги (при ходьбе), шаркать ногами"
ХА́,ХА́,,,"БШИ 1. масд. гл. ха́ бшде 2. (-ялълъ, -ялълъул) шарканье",Саидова 2019 — Андалальский диалект,"БШИ 1. масд. гл. ха́ бшде 2. (-ялълъ, -ялълъул) шарканье"
ХАЗА́,ХАЗА́,,,"РА/Л (-з, -зул) ист. хазары",Саидова 2019 — Андалальский диалект,"РА/Л (-з, -зул) ист. хазары"
ХАЗА́,ХАЗА́,,,РАЗУЛ 1. род. п. от хаза́ рал 2. хазарский,Саидова 2019 — Андалальский диалект,РАЗУЛ 1. род. п. от хаза́ рал 2. хазарский
ХАЗИ́НА,ХАЗИ́НА,,"(-д, -дул)","1) богатство, имущество",Саидова 2019 — Андалальский диалект,"(-д, -дул) 1) богатство, имущество; клад; гIемераб хазина большое богатство; хазина данде гьубуде собрать (накопить) богатство 2) перен. дитя; дир хазина! дитя моё!"
ХАЙИ́Р,ХАЙИ́Р,,"(-алълъ, -алълъул)",польза,Саидова 2019 — Андалальский диалект,"(-алълъ, -алълъул) польза; барыш; прибыль; выгода; благо; хайир бугаб полезный, прибыльный; выгодный; хайир гьечIаб бесполезный, мало прибыльный; невыгодный; хайир гьубуде приносить пользу; хайир кьеде давать выгоду, давать прибыль; буъдияб хайиралълъе ургъде думать о будущей прибыли"
ХАЙИ́РАБ,ХАЙИ́РАБ,,,1) полезный,Саидова 2019 — Андалальский диалект,"1) полезный; хайираб дандилли полезная встреча 2) выгодный, прибыльный; хайираб даран выгодная сделка; хайираб иш прибыльное дело"
ХАКЬ,ХАКЬ,,,1. нареч. внизу,Саидова 2019 — Андалальский диалект,"1. нареч. внизу; хакь хутте отстать; рисана вас каласалълъа хакь хутIана в этом году сын остался в повторном классе 2. послелог внизу чего-л., под чем-л.; остолалълъа хакь под столом; гъотIода хакь под деревом"
ХА́,ХА́,,,"КЬЧIЧIЕЛ (-алълъ, -алълъул, -ал) засада",Саидова 2019 — Андалальский диалект,"КЬЧIЧIЕЛ (-алълъ, -алълъул, -ал) засада; хакьчIчIел гьубуде устроить засаду; см. гъве́ кьчIчIел"
ХАЛ,ХАЛ,,"(-а́ д, -а́ л)","1) кора; гъотIол хал кора дерева 2) шелуха, корка, кожура, оболочка, кожица; катушкадул хал картофельная шелуха, очистки; хал бахде лушить, снимать корку; гIечул хал бахде очистить яблоко от кожуры 3) слой; рукьул хал слой земли 4) выползок змеи;",Саидова 2019 — Андалальский диалект,"(-а́ д, -а́ л) 1) кора; гъотIол хал кора дерева 2) шелуха, корка, кожура, оболочка, кожица; катушкадул хал картофельная шелуха, очистки; хал бахде лушить, снимать корку; гIечул хал бахде очистить яблоко от кожуры 3) слой; рукьул хал слой земли 4) выползок змеи; куд., кег., бух. хъал"
ХАЛ:,ХАЛ:,,,"ХА́Л ГЬУБ/УДЕ (-ума, -ула, -уна, -е) 1) следить, обратить внимание",Саидова 2019 — Андалальский диалект,"ХА́Л ГЬУБ/УДЕ (-ума, -ула, -уна, -е) 1) следить, обратить внимание; адамазул хал гьубуде обратить внимание на людей; ригьиялълъул хал гьубуде следить за посещаемостью 2) проверять; цIцIалул хал гьубуде проверить учебу"
ХАЛАДИ́НИКI,ХАЛАДИ́НИКI,,"(-алълъ, -алълъул, -ал)",холодильник,Саидова 2019 — Андалальский диалект,"(-алълъ, -алълъул, -ал) холодильник; халадиникIалълъул нуцIцIа дверь холодильника; халадиникI рагьде открыть холодильник"
ХАЛБА́,ХАЛБА́,,,"Т (-алълъа, -алълъул, -ал) 1) уединение, одиночество",Саидова 2019 — Андалальский диалект,"Т (-алълъа, -алълъул, -ал) 1) уединение, одиночество; халбаталълъа чIчIеде уединиться (для молитв) 2) рел. келья (в форме землянки)"
ХАЛГIА́,ХАЛГIА́,,,"Т (-алълъ, -алълъул, -ал) халат",Саидова 2019 — Андалальский диалект,"Т (-алълъ, -алълъул, -ал) халат; чалчалаб халгIат пёстрый халат; хахIаб халгIат белый халат; шакъидул халгIат ситцевый халат; халгIат адрелэде надеть халат"
ХАЛИ́П,ХАЛИ́П,,"(-алълъ, -алълъул, -ал)","уст. формовка (для отливки), модель, шаблон",Саидова 2019 — Андалальский диалект,"(-алълъ, -алълъул, -ал) уст. формовка (для отливки), модель, шаблон; халипалълъа жаниб биун тIеде формовать, отливать по форме что-л."
ХА́,ХА́,,,"ЛКК/ВЕДЕ (-уна, -ума, -на, -ве) наблюдать;",Саидова 2019 — Андалальский диалект,"ЛКК/ВЕДЕ (-уна, -ума, -на, -ве) наблюдать; сал. ха́ лккоде, куд. нахъбалагьде, кд. ха́ лкквезе"
ХАЛИ́П/ДЕ,ХАЛИ́П/ДЕ,,"(-лама, -ла, -лана, -ле)","1) не подчиняться, не подчиниться кому-чему-л.",Саидова 2019 — Андалальский диалект,"(-лама, -ла, -лана, -ле) 1) не подчиняться, не подчиниться кому-чему-л.; ослушаться кого-чего-л.; эв рагIуе халиплана он не сдержал слова 2) изменять, изменить комучему-л.; лълъадуе халипде изменить жене"
ХАЛИ́ПДУБ/УДЕ,ХАЛИ́ПДУБ/УДЕ,,"(-ума, -ула, -уна, -е)",понуд. от халѝпде,Саидова 2019 — Андалальский диалект,"(-ума, -ула, -уна, -е) понуд. от халѝпде"
ХАЛИ́ПЛИ,ХАЛИ́ПЛИ,,,"1. масд. гл. халѝпде 2. (-ялълъ, -ялълъул) 1) измена 2) неподчинение, ослушание",Саидова 2019 — Андалальский диалект,"1. масд. гл. халѝпде 2. (-ялълъ, -ялълъул) 1) измена 2) неподчинение, ослушание"
ХАЛИ́ЧА,ХАЛИ́ЧА,,"(-д, -дул, -би)",ковёр; сумаг; халича бессде ткать ковёр;,Саидова 2019 — Андалальский диалект,"(-д, -дул, -би) ковёр; сумаг; халича бессде ткать ковёр; об., суг. партѝсо, гам. сума́ къ, кег., кд. туру́ т; см. тIа́ нсса"
ХАЛИЯ́,ХАЛИЯ́,,,"Р (-алълъ, -алълъул) бот. черемша",Саидова 2019 — Андалальский диалект,"Р (-алълъ, -алълъул) бот. черемша; халияралълъул квен блюдо из черемши"
ХАЛКЪ,ХАЛКЪ,,"(-алълъ, -алълъул, -ал)","1) народ, публика",Саидова 2019 — Андалальский диалект,"(-алълъ, -алълъул, -ал) 1) народ, публика; толпа, люди; мискIинаб халкъ бедный народ; халкъ бакIарун буго майданалълъа на площади собрались люди; халкъалълъа ццеве кIалгьаде выступить перед публикой 2) народ, народность; маарул халкъ а) аварцы б) горцы; гьарагI халкъ кумыки"
ХАЛМА́,ХАЛМА́,,,"Ж (-алълъ, -алълъул, -ал) рел. халдмаж (переносный домик, в котором читают Коран у могилы усопшего)",Саидова 2019 — Андалальский диалект,"Ж (-алълъ, -алълъул, -ал) рел. халдмаж (переносный домик, в котором читают Коран у могилы усопшего)"
ХА́,ХА́,,,"ЛПАБ лживый, ложный",Саидова 2019 — Андалальский диалект,"ЛПАБ лживый, ложный; фальшивый; халпаб гIарац фальшивые деньги"
ХАЛХЬЕ́,ХАЛХЬЕ́,,,"Н (-алълъ, -алълъул, -ал) полено; халхьен цIадаб гьведе положить полено в топку (букв. в огонь);",Саидова 2019 — Андалальский диалект,"Н (-алълъ, -алълъул, -ал) полено; халхьен цIадаб гьведе положить полено в топку (букв. в огонь); суг. келхе́ н, хваркIѝ, сал. хъалхье́ н, руг. хьехье́ н, бух. хъаркIѝ"
ХАМА́,ХАМА́,,,"Х (ханхѝд, ханхѝл, ха́ нхал) нос; хамах унщде высморкать нос; ханхисса би бакана из носа появилась кровь; ханхилълъ жо баде дать по носу;",Саидова 2019 — Андалальский диалект,"Х (ханхѝд, ханхѝл, ха́ нхал) нос; хамах унщде высморкать нос; ханхисса би бакана из носа появилась кровь; ханхилълъ жо баде дать по носу; бух., суг., об., гам. шуме́ ш, куд. хуме́ х, кег., руг. къала́ л, кд. мегIе́ р, хин. шуншѝкъалал"
ХА́,ХА́,,,"МИ 1. масд. гл. ха́ нде 2. (-ялълъ, -ялълъул) похищение, умыкание",Саидова 2019 — Андалальский диалект,"МИ 1. масд. гл. ха́ нде 2. (-ялълъ, -ялълъул) похищение, умыкание; унос, увод"
ХАМУ́,ХАМУ́,,,"Т (-алълъ, -алълъул, -ал) хомут",Саидова 2019 — Андалальский диалект,"Т (-алълъ, -алълъул, -ал) хомут; хамут губуниб баде надеть на шею хомут; хамут ассабахде снять хомут"
ХАН,ХАН,,"(-асс, -ассул, -заби)","хан, царь, властитель",Саидова 2019 — Андалальский диалект,"(-асс, -ассул, -заби) хан, царь, властитель; ханассул вас сын хана, ханассул бика дочь хана; ханассул лълъади ханша; хан ассареххде снять (скинуть) царя"
ХАНДА́,ХАНДА́,,,"КЪ (-алълъ, -алълъул, -ал) ров, овраг",Саидова 2019 — Андалальский диалект,"КЪ (-алълъ, -алълъул, -ал) ров, овраг; окоп; хандакъ бахун дубеххун по ту сторону оврага; ругъул заманалълъ эбел хандакъал рохде йитIун йиана во время войны мать отправили рыть окопы"
ХА́,ХА́,,,"НДЕ (ха́ мама, ха́ нла, ха́ мана, ха́ ме) 1) уносить, унести",Саидова 2019 — Андалальский диалект,"НДЕ (ха́ мама, ха́ нла, ха́ мана, ха́ ме) 1) уносить, унести; уводить, увести кого-что-л.; угонять, угнать кого-л.; царад гIанкIу хамана лиса увела курицу 2) похищать, похитить кого-что-л.; умыкать, умыкнуть (напр. девушку); яс ханде умыкнуть девушку; хамун ячде жениться на умыкнувшей"
ХА́,ХА́,,,"НДУБ/УДЕ (-ума, -ула, -уна, -е) понуд. от ха́ нде",Саидова 2019 — Андалальский диалект,"НДУБ/УДЕ (-ума, -ула, -уна, -е) понуд. от ха́ нде"
ХАНЖА́,ХАНЖА́,,,"Р (хонжро́ д, хонжро́ л, хунжру́ л) кинжал",Саидова 2019 — Андалальский диалект,"Р (хонжро́ д, хонжро́ л, хунжру́ л) кинжал; нукIуссаб ханжар старинный кинжал; ханжар бахде вынуть кинжал (для удара); ханжар ад баде носить кинжал"
ХА́,ХА́,,,"НЛИ (-ялълъ, -ялълъул) 1) ханствование",Саидова 2019 — Андалальский диалект,"НЛИ (-ялълъ, -ялълъул) 1) ханствование; ханли гьубуде ханствовать 2) перен. власть, господство; гонор; главенство; гIессеназда ад ханли гьубуде главенствовать над младшими; чIухIи, ханли – ханзабазе, хенли – нелълъейго погов. гонор, ханство – ханам, а тепло – нам"
ХА́,ХА́,,,"НТIАРАБ жадный, алчный, ненасытный; хантIарав чи жадный человек; хантIарал бацIал алчные волки;",Саидова 2019 — Андалальский диалект,"НТIАРАБ жадный, алчный, ненасытный; хантIарав чи жадный человек; хантIарал бацIал алчные волки; куд. гъа́ гьарав, хин. къу́ хьарав, ла́ гьарав, суг. ла́ гьарав, кд. ла́ гьурав"
ХА́,ХА́,,,"НТI/ДЕ (-ама, -ла, -ана, -е) жадничать",Саидова 2019 — Андалальский диалект,"НТI/ДЕ (-ама, -ла, -ана, -е) жадничать; быть, стать жадным, алчным; сонал варалгIан мун хантIамай йиго с годами ты становишься жадной"
ХА́,ХА́,,,"НТIДУБ/УДЕ (-ума, -ула, -уна, -е) понуд. от ха́ нтIде",Саидова 2019 — Андалальский диалект,"НТIДУБ/УДЕ (-ума, -ула, -уна, -е) понуд. от ха́ нтIде"
ХА́,ХА́,,,"НТIИ 1. масд. гл. хантте//хантIде 2. (-ялълъ, -ялълъул) жадность, алчность, ненасытность",Саидова 2019 — Андалальский диалект,"НТIИ 1. масд. гл. хантте//хантIде 2. (-ялълъ, -ялълъул) жадность, алчность, ненасытность"
ХА́,ХА́,,,"НХР/У (-уд, -удул, -аби) зоол. паук и паутина; ханхру рочон буго появилась паутина; ханхрабаз ицалги, цIцIунцIцIрабиги лълъугIде гьурума пауки уничтожают моль и муравьев;",Саидова 2019 — Андалальский диалект,"НХР/У (-уд, -удул, -аби) зоол. паук и паутина; ханхру рочон буго появилась паутина; ханхрабаз ицалги, цIцIунцIцIрабиги лълъугIде гьурума пауки уничтожают моль и муравьев; куд. хъа́ нхъра, кд., руг. ха́ нхра, сал. гъва́ нгъра, бух. хъа́ нхъру, кег. хъа́ нхъро, гам., об., хин. ха́ нхро"
ХАНЦIА́,ХАНЦIА́,,"(-д, -дул, хунцIбѝ)","крючок, крюк; кунтида ханцIа баде пришить крючок к платью; ччугIа ккув ханцIа цадах босде прихватить с собой рыболовный крючок;",Саидова 2019 — Андалальский диалект,"(-д, -дул, хунцIбѝ) крючок, крюк; кунтида ханцIа баде пришить крючок к платью; ччугIа ккув ханцIа цадах босде прихватить с собой рыболовный крючок; сал. гъванцIа́ , куд., бух., кег. хъанцIа́ //гъанцIа́"
ХАНЦIА́,ХАНЦIА́,,,"-КIИЧI (-алълъ//-ѝд, -алълъул // -ѝл, -ал) застежка и застёжки",Саидова 2019 — Андалальский диалект,"-КIИЧI (-алълъ//-ѝд, -алълъул // -ѝл, -ал) застежка и застёжки; ханцIа-кIичI баде пришить застёжки; ханцIа-кIичI бараб гужгат бешмет с застёжками"
ХА́,ХА́,,,НЦIАРАБ бледный (о лице),Саидова 2019 — Андалальский диалект,НЦIАРАБ бледный (о лице); ханцIараб гьумералълъул яс бледнолицая девушка
ХАНШ,ХАНШ,,,суг. пороша,Саидова 2019 — Андалальский диалект,суг. пороша
ХАП,ХАП,,"(-ид, -ил, -ал)",мешок; ролълъул хап а) мешок пшеницы б) мешок пшеничной муки; хIумузда хапал къаде навьючивать мешки на ослов; хапиниб баде засыпать в мешок; хапал цIедуруде заполнять мешки;,Саидова 2019 — Андалальский диалект,"(-ид, -ил, -ал) мешок; ролълъул хап а) мешок пшеницы б) мешок пшеничной муки; хIумузда хапал къаде навьючивать мешки на ослов; хапиниб баде засыпать в мешок; хапал цIедуруде заполнять мешки; суг. хизѝм, кд., сал. къанда́ ло, куд. гвала́ н, руг., хин. гвала́"
ХА́,ХА́,,,"П/ДЕ (-ама, -ла, -ана, -е) схватить что-л., схватиться за что-л.; хапун ккведе схватить; хапун кудисса бахде выхватить из рук;",Саидова 2019 — Андалальский диалект,"П/ДЕ (-ама, -ла, -ана, -е) схватить что-л., схватиться за что-л.; хапун ккведе схватить; хапун кудисса бахде выхватить из рук; бух., кег., куд. хъа́ пде; кд. ха́ пизе, гам. ха́ пзе"
ХАРА́,ХАРА́,,,"Й (-д, -дул) шёлк (ткань типа парчи)",Саидова 2019 — Андалальский диалект,"Й (-д, -дул) шёлк (ткань типа парчи); харайдул кунта шёлковое платье; гIурччинаб харай зеленый шёлк"
ХАРА́,ХАРА́,,,"Л (-алълъ, -алълъул, -ал) большой мешок; кусул цIураб харал мешок, напоненный шерстью;",Саидова 2019 — Андалальский диалект,"Л (-алълъ, -алълъул, -ал) большой мешок; кусул цIураб харал мешок, напоненный шерстью; суг. хара́ ло"
ХАРА́,ХАРА́,,,"НГ (-алълъ, -алълъул, -ал) анат. нёбо;",Саидова 2019 — Андалальский диалект,"НГ (-алълъ, -алълъул, -ал) анат. нёбо; суг. хара́ нга, руг. хвене́ х, ост.–"
ХАРА́,ХАРА́,,,"НГИ (-д, -дул) бот. клён",Саидова 2019 — Андалальский диалект,"НГИ (-д, -дул) бот. клён"
